,Clusters,RTs,Total_tweets,CumRT
2886,4,77,288700,200651
2887,2,79,288800,200730
2888,2,83,288900,200813
2889,2,89,289000,200902
2890,2,85,289100,200987
2891,3,80,289200,201067
2892,2,79,289300,201146
2893,2,84,289400,201230
2894,2,88,289500,201318
2895,2,84,289600,201402
2896,2,81,289700,201483
2897,4,76,289800,201559
2898,2,88,289900,201647
2899,2,84,290000,201731
2900,2,74,290100,201805
2901,2,80,290200,201885
2902,2,72,290300,201957
2903,2,76,290400,202033
2904,4,77,290500,202110
2905,2,82,290600,202192
2906,2,74,290700,202266
2907,2,82,290800,202348
2908,2,80,290900,202428
2909,2,77,291000,202505
2910,2,78,291100,202583
2911,2,75,291200,202658
2912,2,84,291300,202742
2913,3,79,291400,202821
2914,4,78,291500,202899
2915,2,85,291600,202984
2916,2,82,291700,203066
2917,2,86,291800,203152
2918,2,85,291900,203237
2919,2,74,292000,203311
2920,2,82,292100,203393
2921,2,76,292200,203469
2922,2,88,292300,203557
2923,2,79,292400,203636
2924,3,85,292500,203721
2925,2,78,292600,203799
2926,2,81,292700,203880
2927,2,73,292800,203953
2928,2,78,292900,204031
2929,3,80,293000,204111
2930,2,81,293100,204192
2931,2,80,293200,204272
2932,2,76,293300,204348
2933,2,71,293400,204419
2934,3,83,293500,204502
2935,2,89,293600,204591
2936,3,79,293700,204670
2937,2,86,293800,204756
2938,4,79,293900,204835
2939,2,82,294000,204917
2940,2,87,294100,205004
2941,2,83,294200,205087
2942,2,74,294300,205161
2943,3,83,294400,205244
2944,2,84,294500,205328
2945,2,82,294600,205410
2946,2,85,294700,205495
2947,2,89,294800,205584
2948,2,79,294900,205663
2949,2,80,295000,205743
2950,3,80,295100,205823
2951,2,79,295200,205902
2952,3,72,295300,205974
2953,2,87,295400,206061
2954,3,82,295500,206143
2955,3,78,295600,206221
2956,2,76,295700,206297
2957,2,73,295800,206370
2958,2,82,295900,206452
2959,2,87,296000,206539
2960,3,86,296100,206625
2961,2,73,296200,206698
2962,2,82,296300,206780
2963,3,85,296400,206865
2964,3,89,296500,206954
2965,2,87,296600,207041
2966,2,87,296700,207128
2967,2,80,296800,207208
2968,3,83,296900,207291
2969,2,79,297000,207370
2970,2,75,297100,207445
2971,2,79,297200,207524
2972,3,72,297300,207596
2973,3,74,297400,207670
2974,3,73,297500,207743
