,batch,cluster_number,size
398,147,1,215
399,147,2,756
400,148,0,702
401,148,1,298
402,149,0,263
403,149,1,737
404,150,0,76
405,150,1,542
406,150,2,201
407,150,3,181
408,151,0,255
409,151,1,745
410,152,0,874
411,152,1,126
412,153,0,402
413,153,1,598
414,154,0,67
415,154,1,148
416,154,2,617
417,154,3,18
418,154,4,128
419,154,5,22
420,155,0,279
421,155,1,335
422,155,2,386
423,156,0,30
424,156,1,219
425,156,2,170
426,156,3,581
427,157,0,37
428,157,1,176
429,157,2,172
430,157,3,378
431,157,4,237
432,158,0,296
433,158,1,704
434,159,0,23
435,159,1,648
436,159,2,329
437,160,0,32
438,160,1,453
439,160,2,515
440,161,0,269
441,161,1,731
442,162,0,442
443,162,1,558
444,163,0,220
445,163,1,18
446,163,2,18
447,163,3,79
448,163,4,665
449,164,0,545
450,164,1,180
451,164,2,26
452,164,3,249
453,165,0,591
454,165,1,409
455,166,0,228
456,166,1,772
457,167,0,355
458,167,1,210
459,167,2,159
460,167,3,276
461,168,0,134
462,168,1,433
463,168,2,433
464,169,0,34
465,169,1,120
466,169,2,41
467,169,3,101
468,169,4,79
469,169,5,18
470,169,6,607
471,170,0,78
472,170,1,733
473,170,2,189
474,171,0,44
475,171,1,402
476,171,2,18
477,171,3,168
478,171,4,368
479,172,0,216
480,172,1,455
481,172,2,329
482,173,0,862
483,173,1,138
484,174,0,240
485,174,1,760
486,175,0,188
487,175,1,690
488,175,2,122
489,176,0,83
490,176,1,736
491,176,2,181
492,177,0,635
493,177,1,206
494,177,2,159
495,178,0,79
496,178,1,155
497,178,2,766
498,179,0,816
499,179,1,40
500,179,2,144
501,180,0,195
502,180,1,805
503,181,0,18
504,181,1,292
505,181,2,584
506,181,3,106
507,182,0,235
508,182,1,191
509,182,2,574
510,183,0,774
511,183,1,226
512,184,0,93
513,184,1,907
514,185,0,281
515,185,1,719
516,186,0,565
517,186,1,435
518,187,0,786
519,187,1,20
520,187,2,28
521,187,3,129
522,187,4,37
523,188,0,12
524,188,1,312
525,188,2,519
526,188,3,157
527,189,0,392
528,189,1,418
529,189,2,190
530,190,0,782
531,190,1,218
532,191,0,835
533,191,1,165
534,192,0,661
535,192,1,339
536,193,0,651
537,193,1,233
538,193,2,116
539,194,0,394
540,194,1,428
541,194,2,178
542,195,0,704
543,195,1,186
544,195,2,110
545,196,0,569
546,196,1,431
547,197,0,701
548,197,1,299
549,198,0,236
550,198,1,764
551,199,0,353
552,199,1,365
553,199,2,282
554,200,0,555
555,200,1,445
556,201,0,121
557,201,1,565
558,201,2,156
559,201,3,158
560,202,0,634
561,202,1,366
562,203,0,676
563,203,1,324
564,204,0,259
565,204,1,741
566,205,0,397
567,205,1,603
568,206,0,161
569,206,1,148
570,206,2,691
571,207,0,224
572,207,1,776
573,208,0,783
574,208,1,217
575,209,0,540
576,209,1,460
577,210,0,492
578,210,1,508
579,211,0,652
580,211,1,348
