,Clusters,RTs,Total_tweets,CumRT
1120,2,54,112100,66275
1121,2,55,112200,66330
1122,2,64,112300,66394
1123,4,61,112400,66455
1124,3,64,112500,66519
1125,6,59,112600,66578
1126,2,57,112700,66635
1127,2,61,112800,66696
1128,3,57,112900,66753
1129,7,60,113000,66813
1130,4,68,113100,66881
1131,6,68,113200,66949
1132,3,70,113300,67019
1133,6,63,113400,67082
1134,6,59,113500,67141
1135,2,62,113600,67203
1136,6,63,113700,67266
1137,4,55,113800,67321
1138,5,55,113900,67376
1139,6,59,114000,67435
1140,5,61,114100,67496
1141,3,60,114200,67556
1142,3,57,114300,67613
1143,3,61,114400,67674
1144,3,63,114500,67737
1145,6,61,114600,67798
1146,5,59,114700,67857
1147,3,67,114800,67924
1148,2,65,114900,67989
1149,3,65,115000,68054
1150,6,66,115100,68120
1151,4,71,115200,68191
1152,5,68,115300,68259
1153,2,58,115400,68317
1154,3,63,115500,68380
1155,2,62,115600,68442
1156,6,58,115700,68500
1157,3,57,115800,68557
1158,4,63,115900,68620
1159,2,64,116000,68684
1160,4,65,116100,68749
1161,4,60,116200,68809
1162,2,58,116300,68867
1163,4,63,116400,68930
1164,3,66,116500,68996
1165,5,55,116600,69051
1166,2,59,116700,69110
1167,4,66,116800,69176
1168,4,64,116900,69240
1169,4,56,117000,69296
1170,3,61,117100,69357
1171,2,60,117200,69417
1172,2,70,117300,69487
1173,4,57,117400,69544
1174,2,61,117500,69605
1175,2,63,117600,69668
1176,5,62,117700,69730
1177,2,69,117800,69799
1178,2,67,117900,69866
1179,9,71,118000,69937
1180,2,71,118100,70008
1181,3,59,118200,70067
1182,6,72,118300,70139
1183,4,69,118400,70208
1184,2,65,118500,70273
1185,2,67,118600,70340
1186,4,66,118700,70406
1187,2,83,118800,70489
1188,2,59,118900,70548
1189,3,70,119000,70618
1190,4,70,119100,70688
1191,6,72,119200,70760
1192,2,69,119300,70829
1193,2,63,119400,70892
1194,3,75,119500,70967
1195,5,71,119600,71038
1196,2,75,119700,71113
1197,2,69,119800,71182
1198,2,74,119900,71256
1199,2,67,120000,71323
1200,2,64,120100,71387
1201,5,73,120200,71460
1202,4,71,120300,71531
1203,3,73,120400,71604
1204,5,65,120500,71669
1205,2,65,120600,71734
1206,3,67,120700,71801
1207,3,72,120800,71873
1208,2,68,120900,71941
1209,4,75,121000,72016
1210,2,70,121100,72086
1211,2,79,121200,72165
1212,2,63,121300,72228
1213,3,68,121400,72296
1214,5,80,121500,72376
1215,3,67,121600,72443
1216,5,66,121700,72509
1217,3,73,121800,72582
1218,3,70,121900,72652
1219,5,77,122000,72729
1220,2,70,122100,72799
1221,2,71,122200,72870
1222,2,75,122300,72945
1223,2,69,122400,73014
1224,5,70,122500,73084
1225,3,76,122600,73160
1226,2,66,122700,73226
1227,3,66,122800,73292
1228,3,65,122900,73357
1229,4,69,123000,73426
1230,2,69,123100,73495
1231,2,68,123200,73563
1232,2,77,123300,73640
1233,5,71,123400,73711
1234,2,73,123500,73784
1235,4,72,123600,73856
1236,2,78,123700,73934
1237,6,63,123800,73997
