,Clusters,RTs,Total_tweets,CumRT
417,3,88,41800,32402
418,2,79,41900,32481
419,5,77,42000,32558
420,2,71,42100,32629
421,3,65,42200,32694
422,3,71,42300,32765
423,3,82,42400,32847
424,2,84,42500,32931
425,2,78,42600,33009
426,4,75,42700,33084
427,2,81,42800,33165
428,2,75,42900,33240
429,3,76,43000,33316
430,2,75,43100,33391
431,3,66,43200,33457
432,2,90,43300,33547
433,2,78,43400,33625
434,2,82,43500,33707
435,3,75,43600,33782
436,2,82,43700,33864
437,4,85,43800,33949
438,2,67,43900,34016
439,2,77,44000,34093
440,2,78,44100,34171
441,2,68,44200,34239
442,2,86,44300,34325
443,2,81,44400,34406
444,3,85,44500,34491
445,3,78,44600,34569
446,2,86,44700,34655
447,2,88,44800,34743
448,2,80,44900,34823
449,6,78,45000,34901
450,3,75,45100,34976
451,2,76,45200,35052
452,3,84,45300,35136
453,2,83,45400,35219
454,2,75,45500,35294
455,2,75,45600,35369
456,2,75,45700,35444
457,2,75,45800,35519
458,2,78,45900,35597
459,2,79,46000,35676
460,3,74,46100,35750
461,2,74,46200,35824
462,2,79,46300,35903
463,2,81,46400,35984
464,2,72,46500,36056
465,2,72,46600,36128
466,5,74,46700,36202
467,2,81,46800,36283
468,2,77,46900,36360
469,3,80,47000,36440
470,2,82,47100,36522
471,2,75,47200,36597
472,2,74,47300,36671
473,2,74,47400,36745
474,3,74,47500,36819
475,3,88,47600,36907
476,3,63,47700,36970
477,2,67,47800,37037
478,2,81,47900,37118
479,2,74,48000,37192
480,4,80,48100,37272
481,2,82,48200,37354
482,2,72,48300,37426
483,2,74,48400,37500
484,2,83,48500,37583
485,2,75,48600,37658
486,2,89,48700,37747
487,3,81,48800,37828
488,3,77,48900,37905
489,4,74,49000,37979
490,2,83,49100,38062
491,2,83,49200,38145
492,3,82,49300,38227
493,3,74,49400,38301
494,2,73,49500,38374
495,3,81,49600,38455
496,4,85,49700,38540
497,6,80,49800,38620
498,2,78,49900,38698
499,2,77,50000,38775
500,3,77,50100,38852
501,3,78,50200,38930
502,2,87,50300,39017
503,2,78,50400,39095
504,2,76,50500,39171
505,3,81,50600,39252
506,3,81,50700,39333
507,2,74,50800,39407
508,2,81,50900,39488
509,3,74,51000,39562
510,2,73,51100,39635
511,2,79,51200,39714
512,2,79,51300,39793
513,3,81,51400,39874
514,3,74,51500,39948
515,2,78,51600,40026
516,2,79,51700,40105
517,3,77,51800,40182
518,4,81,51900,40263
519,2,81,52000,40344
520,2,81,52100,40425
521,3,80,52200,40505
522,2,83,52300,40588
523,4,79,52400,40667
524,2,80,52500,40747
525,2,81,52600,40828
526,2,81,52700,40909
527,2,88,52800,40997
528,4,77,52900,41074
529,2,72,53000,41146
530,2,74,53100,41220
531,2,73,53200,41293
532,2,78,53300,41371
533,2,68,53400,41439
534,2,78,53500,41517
535,3,86,53600,41603
536,2,80,53700,41683
537,2,77,53800,41760
538,2,83,53900,41843
539,3,79,54000,41922
540,2,83,54100,42005
541,2,88,54200,42093
542,2,82,54300,42175
543,3,73,54400,42248
544,2,84,54500,42332
545,3,81,54600,42413
546,2,77,54700,42490
547,2,78,54800,42568
548,3,73,54900,42641
549,3,74,55000,42715
550,2,68,55100,42783
551,2,81,55200,42864
552,3,82,55300,42946
553,2,73,55400,43019
554,2,84,55500,43103
555,2,78,55600,43181
556,2,77,55700,43258
557,2,73,55800,43331
558,2,70,55900,43401
559,2,84,56000,43485
560,3,83,56100,43568
561,2,70,56200,43638
562,2,80,56300,43718
563,2,78,56400,43796
564,3,79,56500,43875
565,2,73,56600,43948
566,2,77,56700,44025
567,2,79,56800,44104
568,2,71,56900,44175
569,2,73,57000,44248
570,2,74,57100,44322
571,4,76,57200,44398
572,2,71,57300,44469
573,2,72,57400,44541
574,2,72,57500,44613
575,3,79,57600,44692
576,3,75,57700,44767
577,3,81,57800,44848
578,2,82,57900,44930
579,3,88,58000,45018
580,2,78,58100,45096
581,2,82,58200,45178
582,2,83,58300,45261
583,2,83,58400,45344
584,2,75,58500,45419
585,2,75,58600,45494
586,3,70,58700,45564
587,3,83,58800,45647
588,2,81,58900,45728
589,2,80,59000,45808
590,2,78,59100,45886
591,3,77,59200,45963
592,2,80,59300,46043
593,2,76,59400,46119
594,2,79,59500,46198
595,2,82,59600,46280
596,4,77,59700,46357
597,2,78,59800,46435
598,2,73,59900,46508
599,2,78,60000,46586
600,3,85,60100,46671
601,2,78,60200,46749
602,3,80,60300,46829
603,4,74,60400,46903
604,5,81,60500,46984
605,3,83,60600,47067
606,3,75,60700,47142
607,4,78,60800,47220
608,2,84,60900,47304
609,3,79,61000,47383
610,2,71,61100,47454
